"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"KCGV-FM","","Religious Teaching","","No","","Voice for Christ Ministries, Inc.","",
"KMFB-FM","","Adult Contemporary","","No","","Rubin Broadcasting, Inc.","",
"WKGQ-FM","","Easy Listening","WKGOFM","No","","Broadcast Communications, Inc.","",
"KPGC-FM","","Religious Teaching","","No","","His Will, Inc.","",
"WYTO-FM","","Format Not Available","","No","","Calvary Baptist Church of Turner","",
"KEPS-FM","","Format Not Available","","No","","Radio New Mexico","",
"WRJE-LP","","Variety","","No","","Radio Joe Inc","",
"KVPG-FM","","Religious Teaching","","No","","VCY America, Inc.","",
"WKXE-FM","","Religious Teaching","","No","","Horizon Christian Fellowship-Fitchburg","",
"WXNR-LP","","Adult Hits","","No","","Manticore Search & Rescue Inc","",
"WMPC-FM","","Religious Teaching","","No","","The Calvary Bible Church","",
"WLWS-FM","","Easy Listening","","No","","Broadcast Communications, Inc.","",
"KRIF-FM","","Religious Teaching","","No","","Society of St Vincent de Paul Holy Spirit Conf","Salt & Light Radio, Inc.",
"KWKO-LP","","Oldies","","No","","SW Arkansas Educational Radio, Inc.","",
"KVPJ-FM","","Religious Teaching","","No","","VCY America, Inc.","",
"WWNH-FM","","Format Not Available","","No","","Anchored Mission Inc.","",
"KIYO-FM","","Format Not Available","","No","","BLACKFEET TRIBE","",
"WWWJ-FM","","Format Not Available","","No","","Liberty Baptist Church (IN)","",
"KXYC-FM","","Club/EDM/Techno","KXAVFM","No","","XAVIER ENTERTAINMENT, LLC","",
"KACX-FM","","Format Not Available","","No","","William R Lynett","",
"KGRL-FM","","Contemporary Christian","","No","","The Praise Network, Inc.","",
"WFNX-LP","","Rock","","No","","Scituate Community Radio, Inc.","",
"KFGL-FM","","Religious Teaching","","No","","Old Fashion Baptist Church of Butte","",
"WZIE-FM","","Classic Hits","","No","","Pritchard Broadcasting Corp.","",
"KMHV-FM","","Religious Teaching","","No","","Mary`s Holy Voice","",
"KCVP-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KGCY-FM","","Format Not Available","","No","","The Praise Network, Inc.","",
"KEDR-FM","","Religious Teaching","","No","","One Ministries, Inc.","KFAITH",
"KYBP-FM","","Religious Teaching","","No","","Bible Broadcasting Network","",
"WGGR-FM","","Religious Teaching","","No","","Uchee Pines Institute","",
"WFTB-LP","","Inspirational Gospel","","No","","TABNASHVILLE CDC","",
"KPHL-FM","","Country","KSIDFM","No","","Flood Communications, Inc.","",
"WDFS-FM","","Classic Rock","","No","","Colonial Radio Group, Inc.","",
"WEQW-FM","","Contemporary Christian","","No","","The Salvation Poem Foundation, Inc.","",
"KOPL-FM","","Contemporary Christian","","No","","Growing Christian Foundation","Walla Walla University",
"WKGI-FM","","Easy Listening","WKGOFM","No","","Broadcast Communications, Inc.","",
"WEKM-FM","","News/Talk","","No","","Eastern Kentucky University","",
"WOWE-FM","","Contemporary Christian","","No","","Smile FM","",
"WFWO-FM","","Regional Mexican","","No","","Fort Walton Beach Radio LLC","JVC Broadcasting",
"WUGC-FM","","Format Not Available","","No","","Mitchell County Public Radio, LLC","",
"KUNY-FM","","Country","KONYFM","No","","Cache Valley Media Group","",
"WHSI-FM","","Contemporary Christian","","No","","Smile FM","",
"KRAW-LP","","Variety","","No","","Let`s Talk Rawlins, Inc.","",
"KHSI-FM","","Religious Teaching","","No","","HOLY SPIRIT RADIO","",
"KVWS-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KABV-FM","","Spanish Religious Teaching","","No","","Christian Ministries of the Valley, Inc.","",
"KLMN-FM","","Format Not Available","","No","","SeaSound Broadcasting, LLC","",
"KYWE-FM","","Format Not Available","","No","","Northeast Colorado Broadcasting, LLC","",
"KHOF-FM","","Religious Teaching","","No","","Radio 74 Internationale","",
"KLCN-FM","","Spanish Religious Teaching","","No","","Libertad En Cristo Ministries","",
"KLIU-FM","","Format Not Available","","No","","Bering Light Corp.","",
"KHWD-FM","","Spanish Religious Teaching","","No","","Libertad En Cristo Ministries","",
"KGGY-FM","","Contemporary Christian","","No","","The Praise Network, Inc.","",
"KUFB-FM","","News/Talk","","No","","University of Montana","",
"KCCZ-FM","","Format Not Available","","No","","KLMX Educational Foundation","",
"KIPP-FM","","Format Not Available","","No","","BLACKFEET TRIBE","",
"KJNZ-FM","","Contemporary Christian","","No","","Christian Broadcasting Co.","",
"WYNX-FM","","Format Not Available","","No","","Believers In Jesus Christ, Inc.","",
"WHCG-FM","","Religious Teaching","","No","","Appalachian Educational Communications Corp.","",
"WVTP-FM","","Variety","","No","","Wayne County Board of Education","",
"WWIF-FM","","Religious Teaching","","No","","InVerse Focus Ministry, Inc","",
"KKOI-FM","","Classical","","No","","Mount Wilson FM Broadcasters","",
"KTFL-FM","","News/Talk","","No","","Spokane Public Radio, Inc.","",
"WSLH-FM","","News/Talk","","No","","St. Lawrence University","",
"KQYR-FM","","Format Not Available","","No","","Alpha Consulting Christian Education","",
"KBWB-FM","","Format Not Available","","No","","Northeast Colorado Broadcasting, LLC","",
"WJFE-FM","","Spanish Urban Contemporary","","No","","Nantucket Public Radio, Inc.","",
"KRWY-FM","","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"KENP-FM","","News/Talk","","No","","Eastern New Mexico University","",
"KJCA-FM","","Religious Teaching","","No","","Minn-Iowa Christian Broadcasting","",
"KSUV-FM","","Format Not Available","","No","","Alaska Adventist Radio Network","",
"KECV-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"WMVC-FM","","Format Not Available","","No","","Friends of MVYRadio, Inc.","",
"WXPD-FM","","Religious Teaching","","No","","CSN International","",
"KFTT-FM","","Format Not Available","","No","","Sierra Independent Media","",
"KAZB-FM","","Classic Hits","","No","","NYX COMMUNICATIONS, INC.","",
"WSBR-FM","","Variety","WTBRFM","No","","Pittsfield Community TV","",
"KPMG-FM","","Ethnic","","No","","Blue Continent Communications Inc.","",
"WKSX-FM","","Inspirational Gospel","","No","","Glory Communications, Inc.","",
"WGTM-FM","","Religious Teaching","","No","","West Central Michigan Media Ministries","",
"KARR-FM","","Religious Teaching","","No","","Radio 74 Internationale","",
"KXEB-FM","","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"KDND-FM","","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"WSHG-FM","","Religious Teaching","","No","","West Central Michigan Media Ministries","",
"KSOA-FM","","Religious Teaching","","No","","CSN International","",
"KWSD-FM","","News/Talk","","No","","South Dakota Public Broadcasting","",
"WDRQ-FM","","Easy Listening","","No","","Full Potential Ministry","Smile FM",
"KCSL-FM","","Religious Teaching","","No","","Iowa Catholic Radio","",
"WHWM-FM","","Religious Teaching","WHWLFM","No","","Gospel Opportunities, Inc.","",
"KWMS-FM","","Spanish Variety","","No","","Radio Bilingue, Inc.","",
"WHFO-FM","","Religious Teaching","","No","","Holy Family Communications, Inc.","",
"WTLE-LP","","Variety","","No","","Ember 911, Inc.","",
"WLRK-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"WCGI-FM","","Southern Gospel","","No","","Pathway Christian Academy, Inc.","",
"WEQH-FM","","Contemporary Christian","","No","","The Salvation Poem Foundation, Inc.","",
"WODR-FM","","Contemporary Christian","WPSMFM","No","","DESTINY WORSHIP CENTER INC.","",
"WTUC-LP","","Format Not Available","","No","","Northeast GA Broadcast Corp","",
"WNAK-LP","","Smooth Jazz","","No","","N&K COMMUNITY DEVELOPMENT, INC.","",
"WBSJ-FM","","Classical","","No","","Maine Public Broadcasting Network","",
"WBEM-FM","","Classical","","No","","Maine Public Broadcasting Network","",
"WFAS-FM","","Classical","","No","","Maine Public Broadcasting Network","",
"KTLU-FM","","Spanish Variety","","No","","Radio Bilingue, Inc.","",
"KPTA-FM","","Religious Teaching","","No","","Saint Peter the Apostle Church","",
"WFIJ-FM","","Format Not Available","","No","","Lifestyle Health Education, Inc.","",
"KNVM-LP","","Classic Rock","","No","","City of Mesquite","",
"KYEA-LP","","Gospel Music","","No","","All Purpose Community Development Corporation Inc","",
"WDRK-FM","","Contemporary Christian","","No","","Full Potential Ministry","",
"WGYS-FM","","Format Not Available","","No","","River Valley Community Ministries","",
"KKCP-FM","","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"KNOO-FM","","Spanish Variety","","No","","Radio Bilingue, Inc.","",
"WRMO-FM","","Contemporary Christian","","No","","Light of Life Ministries, Inc.","",
"KOII-FM","","Classical","KMZTAM","No","","Mount Wilson FM Broadcasters","",
"KWRR-FM","","Format Not Available","","No","","BLACKFEET TRIBE","",
"KDCI-FM","","Silent","","No","","Environmental Education Center for Conservation","",
"KMAE-FM","","Format Not Available","","No","","Hi-Line Radio Fellowship, Inc.","",
"KMCL-FM","","Format Not Available","","No","","Trinity Church of McLean","",
"WBSP-FM","","News/Talk","","No","","Maine Public Broadcasting Network","",
"KTBP-FM","","Adult Alternative","","No","","Fort Peck Community College","",
"WTLG-FM","","Religious Teaching","","No","","Vanguard Association of Sunbelt Colleges Corp","",
"KLLM-FM","","Silent","","No","","Michael Radio Group","",
"KQCO-FM","","Format Not Available","","No","","Northeast Colorado Broadcasting, LLC","",
"WXNZ-FM","","Format Not Available","","No","","WESSERUNSETT ARTS COUNCIL","",
"WLPJ-FM","","Easy Listening","","No","","Pathway Christian Academy, Inc.","",
"WWDA-LP","","Inspirational Gospel","","No","","DAF COMMUNITY DEVELOPMENT EDUCATIONAL SERVICES INC","",
"KIZY-FM","","Adult Alternative","","No","","Activist San Diego","",
"KNNE-FM","","News/Talk","","No","","Nebraska Public Media","",
"WHBS-FM","","Soft AC","","No","","Morgan Murphy Media Group","",
"KFCJ-FM","","Format Not Available","","No","","Bott Broadcasting Co.","",
"WVBI-FM","","Variety","","No","","Preservation Association Of Beaver Island","",
"WWAD-FM","","Format Not Available","","No","","Adelante Community Health Center","",
"KDVM-FM","","Religious Teaching","","No","","Iowa Catholic Radio","",
"KDFL-FM","","Classical","","No","","University of Southern California","",
